-	EMBRYO19	RAPFI19	YIXIN18	STARDUST	ALPHAGOMOKU.MK19	WULIN	WINE18	SLOWRENJU19	HEWER18	XOXO19	RENJUSOLVER	DEEPFIRE19	WHOSE19	TITO14	ONIX16	SWINE17
EMBRYO19	-	18 : 6	19 : 5	18 : 6	22 : 2	23 : 1	23 : 1	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
RAPFI19	6 : 18	-	18 : 6	17 : 7	18 : 6	22 : 2	23 : 1	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	22 : 2
YIXIN18	5 : 19	6 : 18	-	15 : 9	13 : 11	20 : 4	23 : 1	24 : 0	18 : 6	22 : 2	22 : 2	23 : 1	21 : 3	23 : 1	24 : 0	22 : 2
STARDUST	6 : 18	7 : 17	9 : 15	-	12 : 12	14 : 10	21 : 3	16 : 8	14 : 10	17 : 7	18 : 6	20 : 4	16 : 8	14 : 10	19 : 5	16 : 8
ALPHAGOMOKU.MK19	2 : 22	6 : 18	11 : 13	12 : 12	-	12 : 12	15 : 9	12 : 12	14 : 10	16 : 8	16 : 8	18 : 6	18 : 6	14 : 10	20 : 4	19 : 5
WULIN	1 : 23	2 : 22	4 : 20	10 : 14	12 : 12	-	15 : 9	16 : 8	17 : 7	16 : 8	16 : 8	17 : 7	17 : 7	16 : 8	21 : 3	18 : 6
WINE18	1 : 23	1 : 23	1 : 23	3 : 21	9 : 15	9 : 15	-	15 : 9	13 : 11	19 : 5	17 : 7	16 : 8	17 : 7	15 : 9	21 : 3	22 : 2
SLOWRENJU19	1 : 23	0 : 24	0 : 24	8 : 16	12 : 12	8 : 16	9 : 15	-	14 : 10	17 : 7	16 : 8	11 : 13	18 : 6	13 : 11	18 : 6	16 : 8
HEWER18	0 : 24	1 : 23	6 : 18	10 : 14	10 : 14	7 : 17	11 : 13	10 : 14	-	9 : 15	10 : 14	16 : 8	14 : 10	12 : 12	16 : 8	18 : 6
XOXO19	0 : 24	0 : 24	2 : 22	7 : 17	8 : 16	8 : 16	5 : 19	7 : 17	15 : 9	-	11 : 13	18 : 6	14 : 10	19 : 5	11 : 13	18 : 6
RENJUSOLVER	0 : 24	0 : 24	2 : 22	6 : 18	8 : 16	8 : 16	7 : 17	8 : 16	14 : 10	13 : 11	-	13 : 11	13 : 11	16 : 8	16 : 8	17 : 7
DEEPFIRE19	0 : 24	0 : 24	1 : 23	4 : 20	6 : 18	7 : 17	8 : 16	13 : 11	8 : 16	6 : 18	11 : 13	-	12 : 12	12 : 12	16 : 8	19 : 5
WHOSE19	0 : 24	0 : 24	3 : 21	8 : 16	6 : 18	7 : 17	7 : 17	6 : 18	10 : 14	10 : 14	11 : 13	12 : 12	-	16 : 8	10 : 14	17 : 7
TITO14	0 : 24	0 : 24	1 : 23	10 : 14	10 : 14	8 : 16	9 : 15	11 : 13	12 : 12	5 : 19	8 : 16	12 : 12	8 : 16	-	16 : 8	11 : 13
ONIX16	0 : 24	0 : 24	0 : 24	5 : 19	4 : 20	3 : 21	3 : 21	6 : 18	8 : 16	13 : 11	8 : 16	8 : 16	14 : 10	8 : 16	-	17 : 7
SWINE17	0 : 24	2 : 22	2 : 22	8 : 16	5 : 19	6 : 18	2 : 22	8 : 16	6 : 18	6 : 18	7 : 17	5 : 19	7 : 17	13 : 11	7 : 17	-
