-	STARDUST	WULIN	XOXO19	DEEPFIRE19	GOFIVE	CARBON17	PENTAZEN	PELA17	CHIS17	GMOTOR11	EGO19	KANEC09	ZETOR17	PECUCHET	EULRING	SPARKLE
STARDUST	-	16 : 8	15 : 9	19 : 5	19 : 5	18 : 6	21 : 3	23 : 1	23 : 1	20 : 4	22 : 2	23 : 1	23 : 1	21 : 3	23 : 1	23 : 1
WULIN	8 : 16	-	15 : 9	19 : 5	17 : 7	21 : 3	21 : 3	23 : 1	18 : 6	24 : 0	21 : 3	17 : 7	21 : 3	18 : 6	23 : 1	24 : 0
XOXO19	9 : 15	9 : 15	-	12 : 12	16 : 8	16 : 8	20 : 4	21 : 3	21 : 3	23 : 1	21 : 3	23 : 1	23 : 1	20 : 4	23 : 1	24 : 0
DEEPFIRE19	5 : 19	5 : 19	12 : 12	-	16 : 8	15 : 9	18 : 6	20 : 4	22 : 2	21 : 3	21 : 3	20 : 4	23 : 1	21 : 3	24 : 0	24 : 0
GOFIVE	5 : 19	7 : 17	8 : 16	8 : 16	-	13 : 11	19 : 5	17 : 7	17 : 7	20 : 4	21 : 3	17 : 7	22 : 2	21 : 3	24 : 0	23 : 1
CARBON17	6 : 18	3 : 21	8 : 16	9 : 15	11 : 13	-	12 : 12	21 : 3	14 : 10	19 : 5	21 : 3	15 : 9	18 : 6	15 : 9	23 : 1	23 : 1
PENTAZEN	3 : 21	3 : 21	4 : 20	6 : 18	5 : 19	12 : 12	-	14 : 10	13 : 11	13 : 11	20 : 4	19 : 5	18 : 6	19 : 5	22 : 2	24 : 0
PELA17	1 : 23	1 : 23	3 : 21	4 : 20	7 : 17	3 : 21	10 : 14	-	16 : 8	8 : 16	15 : 9	18 : 6	20 : 4	19 : 5	23 : 1	23 : 1
CHIS17	1 : 23	6 : 18	3 : 21	2 : 22	7 : 17	10 : 14	11 : 13	8 : 16	-	10 : 14	10 : 14	12 : 12	16 : 8	18 : 6	19 : 5	23 : 1
GMOTOR11	4 : 20	0 : 24	1 : 23	3 : 21	4 : 20	5 : 19	11 : 13	16 : 8	14 : 10	-	13 : 11	11 : 13	13 : 11	17 : 7	21 : 3	18 : 6
EGO19	2 : 22	3 : 21	3 : 21	3 : 21	3 : 21	3 : 21	4 : 20	9 : 15	14 : 10	11 : 13	-	16 : 8	11 : 13	19 : 5	20 : 4	23 : 1
KANEC09	1 : 23	7 : 17	1 : 23	4 : 20	7 : 17	9 : 15	5 : 19	6 : 18	12 : 12	13 : 11	8 : 16	-	13 : 11	19 : 5	16 : 8	21 : 3
ZETOR17	1 : 23	3 : 21	1 : 23	1 : 23	2 : 22	6 : 18	6 : 18	4 : 20	8 : 16	11 : 13	13 : 11	11 : 13	-	13 : 11	17 : 7	19 : 5
PECUCHET	3 : 21	6 : 18	4 : 20	3 : 21	3 : 21	9 : 15	5 : 19	5 : 19	6 : 18	7 : 17	5 : 19	5 : 19	11 : 13	-	10 : 14	11 : 13
EULRING	1 : 23	1 : 23	1 : 23	0 : 24	0 : 24	1 : 23	2 : 22	1 : 23	5 : 19	3 : 21	4 : 20	8 : 16	7 : 17	14 : 10	-	14 : 10
SPARKLE	1 : 23	0 : 24	0 : 24	0 : 24	1 : 23	1 : 23	0 : 24	1 : 23	1 : 23	6 : 18	1 : 23	3 : 21	5 : 19	13 : 11	10 : 14	-
