-	STARDUST	WULIN	PENTAZEN	SPARKLE	JUDE	DJALL18	MONKEY	QMENTAT6	PUSKVOREC	NOESIS	IMRO15	LICHT	FASTGOMOKU14	PISQ7	LIGHTBLUE	STAHLFAUST
STARDUST	-	16 : 8	21 : 3	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
WULIN	8 : 16	-	21 : 3	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
PENTAZEN	3 : 21	3 : 21	-	24 : 0	21 : 3	24 : 0	24 : 0	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
SPARKLE	1 : 23	0 : 24	0 : 24	-	13 : 11	11 : 12	16 : 8	18 : 6	22 : 2	18 : 6	22 : 1	20 : 4	23 : 1	23 : 1	24 : 0	20 : 4
JUDE	0 : 24	0 : 24	3 : 21	11 : 13	-	18 : 6	15 : 9	14 : 10	17 : 7	20 : 4	15 : 9	17 : 7	21 : 3	18 : 6	23 : 1	20 : 4
DJALL18	0 : 24	0 : 24	0 : 24	12 : 11	6 : 18	-	15 : 9	18 : 5	12 : 12	17 : 4	9 : 8	17 : 7	18 : 2	20 : 4	21 : 3	22 : 2
MONKEY	0 : 24	0 : 24	0 : 24	8 : 16	9 : 15	9 : 15	-	9 : 15	17 : 7	12 : 12	16 : 8	15 : 9	23 : 1	23 : 1	22 : 2	23 : 1
QMENTAT6	0 : 24	0 : 24	0 : 24	6 : 18	10 : 14	5 : 18	15 : 9	-	17 : 7	9 : 7	14 : 9	18 : 6	16 : 6	19 : 5	22 : 2	21 : 3
PUSKVOREC	0 : 24	0 : 24	0 : 24	2 : 22	7 : 17	12 : 12	7 : 17	7 : 17	-	16 : 8	19 : 5	6 : 18	19 : 5	20 : 4	21 : 3	15 : 9
NOESIS	0 : 24	0 : 24	1 : 23	6 : 18	4 : 20	4 : 17	12 : 12	7 : 9	8 : 16	-	10 : 12	19 : 5	10 : 7	13 : 11	21 : 1	22 : 2
IMRO15	0 : 24	0 : 24	0 : 24	1 : 22	9 : 15	8 : 9	8 : 16	9 : 14	5 : 19	12 : 10	-	17 : 7	14 : 10	14 : 10	15 : 9	17 : 7
LICHT	0 : 24	0 : 24	0 : 24	4 : 20	7 : 17	7 : 17	9 : 15	6 : 18	18 : 6	5 : 19	7 : 17	-	9 : 15	14 : 10	12 : 12	13 : 11
FASTGOMOKU14	0 : 24	0 : 24	0 : 24	1 : 23	3 : 21	2 : 18	1 : 23	6 : 16	5 : 19	7 : 10	10 : 14	15 : 9	-	18 : 6	20 : 4	19 : 5
PISQ7	0 : 24	0 : 24	0 : 24	1 : 23	6 : 18	4 : 20	1 : 23	5 : 19	4 : 20	11 : 13	10 : 14	10 : 14	6 : 18	-	22 : 2	20 : 4
LIGHTBLUE	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	3 : 21	2 : 22	2 : 22	3 : 21	1 : 21	9 : 15	12 : 12	4 : 20	2 : 22	-	10 : 14
STAHLFAUST	0 : 24	0 : 24	0 : 24	4 : 20	4 : 20	2 : 22	1 : 23	3 : 21	9 : 15	2 : 22	7 : 17	11 : 13	5 : 19	4 : 20	14 : 10	-
