-	STARDUST	WULIN	PENTAZEN	MONKEY	BENJAMIN	VALKYRIE	FIVEROW	PUREROCKY	CRUSHER	PROLOG	MUSHROOM	WHATATEAM
STARDUST	-	16 : 8	21 : 3	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
WULIN	8 : 16	-	21 : 3	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
PENTAZEN	3 : 21	3 : 21	-	24 : 0	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
MONKEY	0 : 24	0 : 24	0 : 24	-	20 : 4	23 : 1	18 : 6	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0
BENJAMIN	0 : 24	0 : 24	0 : 24	4 : 20	-	11 : 13	13 : 11	8 : 16	20 : 4	23 : 1	23 : 1	24 : 0
VALKYRIE	0 : 24	0 : 24	0 : 24	1 : 23	13 : 11	-	9 : 15	16 : 8	16 : 8	22 : 2	21 : 3	23 : 1
FIVEROW	0 : 24	0 : 24	1 : 23	6 : 18	11 : 13	15 : 9	-	17 : 7	11 : 13	8 : 16	20 : 4	23 : 1
PUREROCKY	0 : 24	0 : 24	0 : 24	1 : 23	16 : 8	8 : 16	7 : 17	-	21 : 3	17 : 7	21 : 3	17 : 7
CRUSHER	0 : 24	0 : 24	0 : 24	0 : 24	4 : 20	8 : 16	13 : 11	3 : 21	-	16 : 8	21 : 3	24 : 0
PROLOG	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	2 : 22	16 : 8	7 : 17	8 : 16	-	20 : 4	23 : 1
MUSHROOM	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	3 : 21	4 : 20	3 : 21	3 : 21	4 : 20	-	10 : 14
WHATATEAM	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	1 : 23	7 : 17	0 : 24	1 : 23	14 : 10	-
