-	EMBRYO19	RAPFI19	YIXIN18	STARDUST	WULIN	HEWER18	XOXO19	ALPHAGOMOKU.MK19	WHOSE19	SLOWRENJU19	WINE18	TITO14	SWINE17	DEEPFIRE19	GOFIVE	PENTAZEN	CARBON17	PELA17	CHIS17	EGO19	GMOTOR11	KANEC09	ZETOR17	PECUCHET	EULRING	LICHT	ALPHAGOMOKU.GS	SPARKLE	JUDE	MONKEY	DJALL18	QMENTAT6	NOESIS	PUSKVOREC	IMRO15	FASTGOMOKU14	PISQ7	BENJAMIN	FIVEROW	VALKYRIE	LIGHTBLUE	STAHLFAUST	PUREROCKY	CRUSHER	PROLOG	MUSHROOM	WHATATEAM
EMBRYO19	-	15 : 9	20 : 4	18 : 6	23 : 1	23 : 1	23 : 1	23 : 1	23 : 1	23 : 1	24 : 0	23 : 1	22 : 2	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
RAPFI19	9 : 15	-	14 : 10	21 : 3	20 : 4	22 : 2	24 : 0	23 : 1	24 : 0	22 : 2	20 : 4	24 : 0	22 : 2	23 : 1	22 : 2	24 : 0	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
YIXIN18	4 : 20	10 : 14	-	12 : 12	20 : 4	19 : 5	23 : 1	15 : 9	22 : 2	19 : 5	22 : 2	18 : 6	21 : 3	23 : 1	20 : 4	24 : 0	23 : 1	23 : 1	24 : 0	22 : 2	23 : 1	22 : 2	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
STARDUST	6 : 18	3 : 21	12 : 12	-	14 : 10	14 : 10	16 : 8	16 : 8	13 : 11	13 : 11	19 : 5	15 : 9	20 : 4	21 : 3	20 : 4	21 : 3	18 : 6	22 : 2	22 : 2	20 : 4	23 : 1	23 : 1	22 : 2	22 : 2	22 : 2	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
WULIN	1 : 23	4 : 20	4 : 20	10 : 14	-	11 : 13	14 : 10	9 : 15	14 : 10	13 : 11	19 : 5	15 : 9	15 : 9	20 : 4	21 : 3	19 : 5	19 : 5	23 : 1	19 : 5	21 : 3	22 : 2	19 : 5	21 : 3	19 : 5	23 : 1	22 : 2	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
HEWER18	1 : 23	2 : 22	5 : 19	10 : 14	13 : 11	-	15 : 9	12 : 12	17 : 7	15 : 9	14 : 10	15 : 9	14 : 10	15 : 9	18 : 6	20 : 4	18 : 6	19 : 5	19 : 5	23 : 1	21 : 3	22 : 2	21 : 3	22 : 2	24 : 0	24 : 0	24 : 0	23 : 1	23 : 1	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
XOXO19	1 : 23	0 : 24	1 : 23	8 : 16	10 : 14	9 : 15	-	15 : 9	16 : 8	15 : 9	13 : 11	16 : 8	15 : 9	20 : 4	19 : 5	17 : 7	15 : 9	22 : 2	21 : 3	23 : 1	23 : 1	20 : 4	21 : 3	21 : 3	22 : 2	23 : 1	24 : 0	23 : 1	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
ALPHAGOMOKU.MK19	1 : 23	1 : 23	9 : 15	8 : 16	15 : 9	12 : 12	9 : 15	-	14 : 10	12 : 12	11 : 13	13 : 11	16 : 8	14 : 10	17 : 7	18 : 6	17 : 7	21 : 3	19 : 5	21 : 3	22 : 2	22 : 2	23 : 1	21 : 3	22 : 2	23 : 1	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
WHOSE19	1 : 23	0 : 24	2 : 22	11 : 13	10 : 14	7 : 17	8 : 16	10 : 14	-	12 : 12	15 : 9	17 : 7	13 : 11	17 : 7	15 : 9	17 : 7	17 : 7	22 : 2	22 : 2	20 : 4	23 : 1	20 : 4	23 : 1	22 : 2	23 : 1	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
SLOWRENJU19	1 : 23	2 : 22	5 : 19	11 : 13	11 : 13	9 : 15	9 : 15	12 : 12	12 : 12	-	13 : 11	15 : 9	16 : 8	13 : 11	13 : 11	15 : 9	17 : 7	20 : 4	19 : 5	22 : 2	21 : 3	22 : 2	24 : 0	22 : 2	23 : 1	23 : 1	23 : 1	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
WINE18	0 : 24	4 : 20	2 : 22	5 : 19	5 : 19	10 : 14	11 : 13	13 : 11	9 : 15	11 : 13	-	9 : 15	18 : 6	16 : 8	16 : 8	17 : 7	19 : 5	20 : 4	16 : 8	19 : 5	18 : 6	20 : 4	22 : 2	21 : 3	24 : 0	23 : 1	23 : 1	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
TITO14	1 : 23	0 : 24	6 : 18	9 : 15	9 : 15	9 : 15	8 : 16	11 : 13	7 : 17	9 : 15	15 : 9	-	12 : 12	13 : 11	15 : 9	16 : 8	18 : 6	17 : 7	16 : 8	22 : 2	19 : 5	22 : 2	23 : 1	23 : 1	21 : 3	24 : 0	22 : 2	24 : 0	22 : 2	23 : 1	24 : 0	22 : 2	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
SWINE17	2 : 22	2 : 22	3 : 21	4 : 20	9 : 15	10 : 14	9 : 15	8 : 16	11 : 13	8 : 16	6 : 18	12 : 12	-	15 : 9	14 : 10	16 : 8	16 : 8	14 : 10	19 : 5	15 : 9	12 : 12	17 : 7	20 : 4	19 : 5	23 : 1	24 : 0	23 : 1	23 : 1	23 : 1	24 : 0	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
DEEPFIRE19	1 : 23	1 : 23	1 : 23	3 : 21	4 : 20	9 : 15	4 : 20	10 : 14	7 : 17	11 : 13	8 : 16	11 : 13	9 : 15	-	11 : 13	10 : 14	10 : 14	20 : 4	21 : 3	20 : 4	19 : 5	19 : 5	20 : 4	18 : 6	22 : 2	23 : 1	23 : 1	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
GOFIVE	0 : 24	2 : 22	4 : 20	4 : 20	3 : 21	6 : 18	5 : 19	7 : 17	9 : 15	11 : 13	8 : 16	9 : 15	10 : 14	13 : 11	-	16 : 8	17 : 7	21 : 3	15 : 9	19 : 5	17 : 7	16 : 8	19 : 5	19 : 5	20 : 4	21 : 3	23 : 1	24 : 0	22 : 2	23 : 1	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	23 : 1	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
PENTAZEN	0 : 24	0 : 24	0 : 24	3 : 21	5 : 19	4 : 20	7 : 17	6 : 18	7 : 17	9 : 15	7 : 17	8 : 16	8 : 16	14 : 10	8 : 16	-	12 : 12	14 : 10	15 : 9	19 : 5	15 : 9	16 : 8	21 : 3	18 : 6	22 : 2	24 : 0	23 : 1	24 : 0	22 : 2	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
CARBON17	0 : 24	0 : 24	1 : 23	6 : 18	5 : 19	6 : 18	9 : 15	7 : 17	7 : 17	7 : 17	5 : 19	6 : 18	8 : 16	14 : 10	7 : 17	12 : 12	-	16 : 8	12 : 12	18 : 6	17 : 7	12 : 12	21 : 3	20 : 4	21 : 3	20 : 4	24 : 0	23 : 1	23 : 1	22 : 2	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
PELA17	0 : 24	0 : 24	1 : 23	2 : 22	1 : 23	5 : 19	2 : 22	3 : 21	2 : 22	4 : 20	4 : 20	7 : 17	10 : 14	4 : 20	3 : 21	10 : 14	8 : 16	-	12 : 12	16 : 8	9 : 15	13 : 11	22 : 2	20 : 4	24 : 0	21 : 3	22 : 2	23 : 1	24 : 0	22 : 2	23 : 0	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
CHIS17	1 : 23	1 : 23	0 : 24	2 : 22	5 : 19	5 : 19	3 : 21	5 : 19	2 : 22	5 : 19	8 : 16	8 : 16	5 : 19	3 : 21	9 : 15	9 : 15	12 : 12	12 : 12	-	9 : 15	11 : 13	14 : 10	16 : 8	20 : 4	18 : 6	19 : 5	20 : 4	22 : 2	21 : 3	22 : 2	23 : 1	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	23 : 1	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0
EGO19	0 : 24	0 : 24	2 : 22	4 : 20	3 : 21	1 : 23	1 : 23	3 : 21	4 : 20	2 : 22	5 : 19	2 : 22	9 : 15	4 : 20	5 : 19	5 : 19	6 : 18	8 : 16	15 : 9	-	15 : 9	16 : 8	16 : 8	17 : 7	19 : 5	21 : 3	18 : 6	23 : 1	20 : 4	22 : 2	23 : 1	23 : 1	21 : 3	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
GMOTOR11	0 : 24	0 : 24	1 : 23	1 : 23	2 : 22	3 : 21	1 : 23	2 : 22	1 : 23	3 : 21	6 : 18	5 : 19	12 : 12	5 : 19	7 : 17	9 : 15	7 : 17	15 : 9	13 : 11	9 : 15	-	11 : 13	15 : 9	19 : 5	19 : 5	20 : 4	22 : 2	22 : 2	22 : 2	19 : 5	18 : 6	21 : 3	21 : 3	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	23 : 1	24 : 0
KANEC09	0 : 24	1 : 23	2 : 22	1 : 23	5 : 19	2 : 22	4 : 20	2 : 22	4 : 20	2 : 22	4 : 20	2 : 22	7 : 17	5 : 19	8 : 16	8 : 16	12 : 12	11 : 13	10 : 14	8 : 16	13 : 11	-	14 : 10	15 : 9	20 : 4	19 : 5	19 : 5	20 : 4	21 : 3	20 : 4	18 : 6	24 : 0	22 : 1	22 : 2	19 : 5	23 : 1	22 : 2	21 : 3	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
ZETOR17	0 : 24	0 : 24	1 : 23	2 : 22	3 : 21	3 : 21	3 : 21	1 : 23	1 : 23	0 : 24	2 : 22	1 : 23	4 : 20	4 : 20	5 : 19	3 : 21	3 : 21	2 : 22	8 : 16	8 : 16	9 : 15	10 : 14	-	9 : 15	15 : 9	17 : 7	17 : 7	19 : 5	18 : 6	23 : 1	19 : 5	22 : 2	20 : 4	21 : 3	23 : 1	24 : 0	23 : 1	24 : 0	22 : 2	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
PECUCHET	1 : 23	0 : 24	0 : 24	2 : 22	5 : 19	2 : 22	3 : 21	3 : 21	2 : 22	2 : 22	3 : 21	1 : 23	5 : 19	6 : 18	5 : 19	6 : 18	4 : 20	4 : 20	4 : 20	7 : 17	5 : 19	9 : 15	15 : 9	-	8 : 16	12 : 12	12 : 12	12 : 12	15 : 9	16 : 8	17 : 7	20 : 4	20 : 4	17 : 7	15 : 9	15 : 9	20 : 4	21 : 3	22 : 2	22 : 2	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
EULRING	0 : 24	0 : 24	0 : 24	2 : 22	1 : 23	0 : 24	2 : 22	2 : 22	1 : 23	1 : 23	0 : 24	3 : 21	1 : 23	2 : 22	4 : 20	2 : 22	3 : 21	0 : 24	6 : 18	5 : 19	5 : 19	4 : 20	9 : 15	16 : 8	-	13 : 11	15 : 9	18 : 6	16 : 8	20 : 4	18 : 6	16 : 8	21 : 3	23 : 1	19 : 5	20 : 4	23 : 1	21 : 3	22 : 2	22 : 2	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
LICHT	0 : 24	0 : 24	0 : 24	1 : 23	2 : 22	0 : 24	1 : 23	1 : 23	1 : 23	1 : 23	1 : 23	0 : 24	0 : 24	1 : 23	3 : 21	0 : 24	4 : 20	3 : 21	5 : 19	3 : 21	4 : 20	5 : 19	7 : 17	12 : 12	11 : 13	-	21 : 3	14 : 10	15 : 9	15 : 9	18 : 6	19 : 5	13 : 11	22 : 2	21 : 3	21 : 3	24 : 0	22 : 2	22 : 2	23 : 1	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0
ALPHAGOMOKU.GS	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	1 : 23	2 : 22	1 : 23	1 : 23	1 : 23	1 : 23	0 : 24	2 : 22	4 : 20	6 : 18	2 : 22	5 : 19	7 : 17	12 : 12	9 : 15	3 : 21	-	13 : 11	10 : 14	13 : 11	20 : 4	13 : 11	19 : 5	21 : 3	22 : 2	23 : 1	20 : 4	22 : 2	23 : 1	21 : 3	24 : 0	22 : 2	23 : 1	24 : 0	22 : 2	23 : 1	24 : 0
SPARKLE	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	1 : 23	0 : 24	0 : 24	0 : 24	1 : 23	0 : 24	1 : 23	1 : 23	0 : 24	0 : 24	1 : 23	1 : 23	2 : 22	1 : 23	2 : 22	4 : 20	5 : 19	12 : 12	6 : 18	10 : 14	11 : 13	-	13 : 11	18 : 6	13 : 11	17 : 7	16 : 8	23 : 1	18 : 6	21 : 2	22 : 2	24 : 0	21 : 3	23 : 1	24 : 0	21 : 3	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
JUDE	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	1 : 23	1 : 23	0 : 24	1 : 23	0 : 24	2 : 22	1 : 23	0 : 24	2 : 22	2 : 22	1 : 23	0 : 24	3 : 21	4 : 20	2 : 22	3 : 21	6 : 18	9 : 15	8 : 16	9 : 15	14 : 10	11 : 13	-	15 : 9	15 : 9	14 : 10	19 : 5	17 : 7	14 : 10	20 : 4	18 : 6	21 : 3	19 : 5	23 : 1	24 : 0	23 : 1	21 : 3	21 : 3	24 : 0	23 : 1	24 : 0
MONKEY	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	0 : 24	0 : 24	1 : 23	0 : 24	2 : 22	2 : 22	2 : 22	2 : 22	5 : 19	4 : 20	1 : 23	8 : 16	4 : 20	9 : 15	11 : 13	6 : 18	9 : 15	-	9 : 15	11 : 13	15 : 9	19 : 5	19 : 5	18 : 6	21 : 3	22 : 2	19 : 5	22 : 2	22 : 2	23 : 1	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0
DJALL18	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	0 : 24	0 : 23	1 : 23	1 : 23	6 : 18	6 : 18	5 : 19	7 : 17	6 : 18	6 : 18	4 : 20	11 : 13	9 : 15	15 : 9	-	18 : 6	18 : 5	13 : 11	10 : 5	20 : 2	19 : 5	24 : 0	16 : 8	14 : 10	20 : 4	24 : 0	21 : 3	24 : 0	23 : 1	22 : 2	24 : 0
