-	EMBRYO19	YIXIN18	WULIN	WHOSE19	SLOWRENJU19	RENJUSOLVER	GOFIVE	PENTAZEN	CARBON17	XL	PELA17
EMBRYO19	-	13 : 10	22 : 2	24 : 0	23 : 0	23 : 0	23 : 0	24 : 0	24 : 0	23 : 1	24 : 0
YIXIN18	10 : 13	-	16 : 6	23 : 1	24 : 0	21 : 1	24 : 0	24 : 0	24 : 0	24 : 0	23 : 0
WULIN	2 : 22	6 : 16	-	15 : 9	10 : 14	16 : 8	21 : 3	19 : 5	22 : 2	24 : 0	24 : 0
WHOSE19	0 : 24	1 : 23	9 : 15	-	12 : 12	13 : 11	19 : 5	24 : 0	22 : 2	23 : 1	21 : 2
SLOWRENJU19	0 : 23	0 : 24	14 : 10	12 : 12	-	8 : 15	20 : 3	18 : 6	22 : 2	22 : 2	22 : 1
RENJUSOLVER	0 : 23	1 : 21	8 : 16	11 : 13	15 : 8	-	20 : 4	19 : 4	17 : 6	22 : 2	22 : 2
GOFIVE	0 : 23	0 : 24	3 : 21	5 : 19	3 : 20	4 : 20	-	19 : 5	12 : 12	19 : 5	23 : 1
PENTAZEN	0 : 24	0 : 24	5 : 19	0 : 24	6 : 18	4 : 19	5 : 19	-	13 : 11	20 : 4	19 : 3
CARBON17	0 : 24	0 : 24	2 : 22	2 : 22	2 : 22	6 : 17	12 : 12	11 : 13	-	15 : 9	18 : 5
XL	1 : 23	0 : 24	0 : 24	1 : 23	2 : 22	2 : 22	5 : 19	4 : 20	9 : 15	-	12 : 12
PELA17	0 : 24	0 : 23	0 : 24	2 : 21	1 : 22	2 : 22	1 : 23	3 : 19	5 : 18	12 : 12	-
