-	EMBRYO19	YIXIN18	WULIN	WHOSE19	RENJUSOLVER	SLOWRENJU19	TITO14	HEWER18.S	DEEPFIRE19	ALPHAGOMOKU.MK19	GOFIVE	PENTAZEN	CARBON17	GMOTOR11	PELA17	ZETOR17
EMBRYO19	-	19 : 3	22 : 1	23 : 1	22 : 2	24 : 0	24 : 0	21 : 2	23 : 1	22 : 2	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0
YIXIN18	3 : 19	-	20 : 3	23 : 1	20 : 2	23 : 1	21 : 2	20 : 4	22 : 2	23 : 1	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0
WULIN	1 : 22	3 : 20	-	12 : 12	10 : 12	16 : 8	14 : 10	16 : 8	15 : 9	14 : 10	20 : 4	22 : 2	19 : 5	23 : 1	22 : 1	23 : 1
WHOSE19	1 : 23	1 : 23	12 : 12	-	15 : 8	15 : 9	16 : 8	11 : 11	9 : 12	16 : 8	21 : 3	21 : 3	21 : 3	22 : 1	21 : 1	23 : 1
RENJUSOLVER	2 : 22	2 : 20	12 : 10	8 : 15	-	10 : 11	13 : 11	12 : 11	14 : 8	18 : 6	21 : 2	23 : 1	20 : 3	22 : 2	22 : 0	21 : 3
SLOWRENJU19	0 : 24	1 : 23	8 : 16	9 : 15	11 : 10	-	12 : 12	17 : 6	12 : 12	17 : 7	15 : 8	23 : 1	23 : 1	22 : 1	23 : 0	23 : 1
TITO14	0 : 24	2 : 21	10 : 14	8 : 16	11 : 13	12 : 12	-	13 : 9	15 : 8	18 : 6	15 : 9	17 : 6	23 : 1	24 : 0	22 : 2	23 : 1
HEWER18.S	2 : 21	4 : 20	8 : 16	11 : 11	11 : 12	6 : 17	9 : 13	-	13 : 11	17 : 7	16 : 8	20 : 3	21 : 3	20 : 4	20 : 2	21 : 3
DEEPFIRE19	1 : 23	2 : 22	9 : 15	12 : 9	8 : 14	12 : 12	8 : 15	11 : 13	-	15 : 9	18 : 6	18 : 5	20 : 3	20 : 4	18 : 3	22 : 2
ALPHAGOMOKU.MK19	2 : 22	1 : 23	10 : 14	8 : 16	6 : 18	7 : 17	6 : 18	7 : 17	9 : 15	-	16 : 8	13 : 11	14 : 10	21 : 3	23 : 1	18 : 6
GOFIVE	0 : 24	0 : 24	4 : 20	3 : 21	2 : 21	8 : 15	9 : 15	8 : 16	6 : 18	8 : 16	-	14 : 10	16 : 8	21 : 3	17 : 5	18 : 6
PENTAZEN	1 : 23	0 : 24	2 : 22	3 : 21	1 : 23	1 : 23	6 : 17	3 : 20	5 : 18	11 : 13	10 : 14	-	9 : 14	17 : 7	15 : 6	16 : 8
CARBON17	0 : 24	1 : 23	5 : 19	3 : 21	3 : 20	1 : 23	1 : 23	3 : 21	3 : 20	10 : 14	8 : 16	14 : 9	-	14 : 10	15 : 6	17 : 7
GMOTOR11	0 : 24	0 : 24	1 : 23	1 : 22	2 : 22	1 : 22	0 : 24	4 : 20	4 : 20	3 : 21	3 : 21	7 : 17	10 : 14	-	14 : 7	14 : 10
PELA17	0 : 24	0 : 24	1 : 22	1 : 21	0 : 22	0 : 23	2 : 22	2 : 20	3 : 18	1 : 23	5 : 17	6 : 15	6 : 15	7 : 14	-	14 : 10
ZETOR17	0 : 24	0 : 24	1 : 23	1 : 23	3 : 21	1 : 23	1 : 23	3 : 21	2 : 22	6 : 18	6 : 18	8 : 16	7 : 17	10 : 14	10 : 14	-
